epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445435886363149,1,121012,37,2865,13801,17,9
1784445435936361754,0,125024,35,2917,13801,17,8
1784445435936361754,1,121012,37,2865,13801,17,9
1784445435986363210,0,125024,35,2917,13801,17,8
1784445435986363210,1,121012,37,2865,13801,17,9
1784445436036359925,0,125024,35,2917,13801,17,8
1784445436036359925,1,121012,37,2865,13801,17,9
1784445436086362471,0,125024,35,2917,13801,17,8
1784445436086362471,1,121012,37,2865,13801,17,9
1784445436136359479,0,125024,35,2917,13801,17,8
1784445436136359479,1,121534,37,2857,13801,18,9
1784445436186360816,0,125024,35,2917,13801,17,8
